name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Game Changer Sports Facility,"Mandaue, Central Visayas, Philippines",MANDAUE CITY,CEBU,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/mandaue/game-changer-sports-facility,,,pickleball|,
Cebu Sports Hub,"Mandaue, Central Visayas, Philippines",MANDAUE CITY,CEBU,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/mandaue/cebu-sports-hub,,,pickleball|,
Sweetspot Pickleball Courts Cebu,"Mandaue, Central Visayas, Philippines",MANDAUE CITY,CEBU,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/mandaue/sweetspot-pickleball-courts-cebu,,,pickleball|,
