name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Dr Pickle Pickleball Court,"Dumaguete City, Negros Island Region, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/negros-island-region/dumaguete-city/dr-pickle-pickleball-court,,,pickleball|,
Slv Courts,"Dumaguete City, Negros Island Region, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/negros-island-region/dumaguete-city/slv-courts,,,pickleball|,
Zero Zero Two Pickleball Court,"Dumaguete City, Negros Island Region, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/negros-island-region/dumaguete-city/zero-zero-two-pickleball-court,,,pickleball|,
Rally Alley Pickleball Courts,"Dumaguete City, Central Visayas, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/dumaguete-city/rally-alley-pickleball-courts,,,pickleball|,
Bmvl Sports Center,"Hilongos, Eastern Visayas, Philippines",HILONGOS,LEYTE,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/eastern-visayas/hilongos/bmvl-sports-center,,,pickleball|,
