name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Camella Covered Court,"Cabanatuan City, Central Luzon, Philippines",CABANATUAN CITY,NUEVA ECIJA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/camella-covered-court,,,pickleball|,
Kalamandarin Pickleball Court,"Cabanatuan City, Central Luzon, Philippines",CABANATUAN CITY,NUEVA ECIJA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/kalamandarin-pickleball-court,,,pickleball|,
Smash Cab Badminton And Fitness,"Cabanatuan City, Central Luzon, Philippines",CABANATUAN CITY,NUEVA ECIJA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/smash-cab-badminton-and-fitness,,,pickleball|,
