name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Upv Miagao Pickleball Courts,"Miagao, Western Visayas, Philippines",MIAGAO,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/miagao/upv-miagao-pickleball-courts,,,pickleball|,
University Of The Philippines Visayas,"Miagao, Western Visayas, Philippines",MIAGAO,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/miagao/university-of-the-philippines-visayas,,,pickleball|,
Athletes Point Sports Center,"Iloilo City, Western Visayas, Philippines",ILOILO CITY,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/iloilo-city/athletes-point-sports-center,,,pickleball|,
