name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
"Dad's Pickleball Club","Garnet St. E.J. Blanco Extension, Dumaguete City, Negros Oriental, Philippines","DUMAGUETE CITY","NEGROS ORIENTAL","PH","Asia/Manila","","","https://www.facebook.com/p/Dads-Pickleball-Club-61578245391738/","","","","","","pickleball|",""
"Burn Room Pickleball","Purok Madasigon, Upper Cantil-e, Dumaguete City, Negros Oriental, Philippines","DUMAGUETE CITY","NEGROS ORIENTAL","PH","Asia/Manila","","","https://www.facebook.com/p/Burn-Room-Pickleball-61575536924307/","https://www.instagram.com/burnroomofficial/","","https://burnroom.ph","","","pickleball|",""
"POK Pickleball Courts","Purok Mahusay, Motong, Dumaguete City, Negros Oriental, Philippines","DUMAGUETE CITY","NEGROS ORIENTAL","PH","Asia/Manila","","","https://www.facebook.com/p/POK-Pickleball-Courts-61579595096011/","","","","","","pickleball|",""
"SLV Pickleball Club","St. Louis Village Bagacay, Dumaguete City, Negros Oriental, Philippines","DUMAGUETE CITY","NEGROS ORIENTAL","PH","Asia/Manila","","","https://www.facebook.com/people/SLV-Pickleball-Club/61584510155452/","","0938 593 5771","","","","pickleball|",""
"HomecourT","Back of RTC Aircon, Piapi, Dumaguete City, Negros Oriental, Philippines","DUMAGUETE CITY","NEGROS ORIENTAL","PH","Asia/Manila","","","https://www.facebook.com/p/HomecourT-61581491813089/","","","","","","pickleball|",""
