name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Dauin Sport Park,"Dauin, Negros Island Region, Philippines",DAUIN,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/negros-island-region/dauin/dauin-sport-park,,,pickleball|,
Dr Pickle Pickleball Court,"Dumaguete City, Negros Island Region, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/negros-island-region/dumaguete-city/dr-pickle-pickleball-court,,,pickleball|,
Mk Pickleball Court,"Dumaguete City, Negros Island Region, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/negros-island-region/dumaguete-city/mk-pickleball-court,,,pickleball|,
