name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Triple A Sports Center Pickleball Courts At Vista Mall,"Oton, Western Visayas, Philippines",OTON,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/oton/triple-a-sports-center-pickleball-courts-at-vista-mall,,,pickleball|,
Sinadya Pickleball Courts At Vista Mall Iloilo,"Philippines, Western Visayas, Philippines",ILOILO CITY,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/philippines/sinadya-pickleball-courts-at-vista-mall-iloilo,,,pickleball|,
Athletes Point Sports Center,"Iloilo City, Western Visayas, Philippines",ILOILO CITY,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/iloilo-city/athletes-point-sports-center,,,pickleball|,
