name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Smash Zone,"Philippines, Eastern Visayas, Philippines",Philippines,Eastern Visayas,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/eastern-visayas/philippines/smash-zone,,,pickleball|,
Robinsons North Tacloban,"Tacloban City, Eastern Visayas, Philippines",TACLOBAN CITY,LEYTE,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/eastern-visayas/tacloban-city/robinsons-north-tacloban,,,pickleball|,
