name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
THE COURT AVENUE SPORTS & LIFESTYLE CORPORATION,"TCA McArthur Highway, San Isidro, City of San Fernando, Pampanga",SAN FERNANDO CITY,PAMPANGA,PH,Asia/Manila,,,,,,,,,pickleball|pickleball|,
Grabka Sports Sta Rosa Group Inc,"2nd Level, Vista Mall Sta. Rosa, Laguna",SANTA ROSA CITY,LAGUNA,PH,Asia/Manila,,,,,09163493319,,,,pickleball|pickleball|,
Pickleball On the Go,Davao City,DAVAO CITY,DAVAO DEL SUR,PH,Asia/Manila,,,,,09177210688,,,,pickleball|pickleball|,
Dink City Pickleball Court,"203 Crispin Calabio Ave., San Pablo City, Laguna",SAN PABLO CITY,LAGUNA,PH,Asia/Manila,,,,,(0956) 750 7075,,,,pickleball|pickleball|,
G-Park Playgrounds,#27 6th st cor 9th ave east Brgy 104 Caloocan City,CALOOCAN CITY,METRO MANILA,PH,Asia/Manila,,,,,09154646175,,,,pickleball|pickleball|,
Net and Paddle Pickleball Club,"101 Tupas St. Sawang Calero, Cebu City 6000",CEBU CITY,CEBU,PH,Asia/Manila,,,,,09173118202,,,,pickleball|pickleball|,
Revel Grove,"W13 Area 1 Filsyn Compound, Brgy. Don Jose, City of Santa Rosa, Laguna",SANTA ROSA CITY,LAGUNA,PH,Asia/Manila,,,,,,,,,pickleball|pickleball|,
The Pickler Pod,"138-142 Quezon ave., Richmond subd, Brgy. San Isidro Angono, Rizal, Philippines 1930 c/o Alpha AAce builders supply Inbetween CEBUANA and Jollibee",ANGONO,RIZAL,PH,Asia/Manila,,,,,09564401784,,,,pickleball|pickleball|,
The Picklehaus,"Genmig Construction Office, Purok 1, Tinago, Dauis, Bohol",DAUIS,BOHOL,PH,Asia/Manila,,,,,(0960) 612 5074,,,,pickleball|pickleball|,
Apex Pickleball Hub,"Warehouse 11 Andenson Cmpd, National Hiway, Parian, Calamba City",CALAMBA CITY,LAGUNA,PH,Asia/Manila,,,,,09278045065,,,,pickleball|pickleball|,
MetroGate Complex Pickleball Club,"MGPC Paddle Park, Metrogate Complex Subdivision, Meycauayan City, Bulacan",MEYCAUAYAN CITY,BULACAN,PH,Asia/Manila,,,,,09175090980,,,,pickleball|pickleball|,
PickleHub,"City Hub Bldg., 92 Upper Gen. Luna Road Corner Leonard Wood Road, Baguio City",BAGUIO CITY,BENGUET,PH,Asia/Manila,,,,,09190875185,,,,pickleball|pickleball|,
Westfield Pickleball Center,"Turno, Dipolog City",DIPOLOG CITY,ZAMBOANGA DEL NORTE,PH,Asia/Manila,,,,,NA,,,,pickleball|pickleball|,
The Pickle Box,"Endrina st. San Carlos City, Negros Occidental.",SAN CARLOS CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,,,,,09606049184,,,,pickleball|pickleball|,
The Paddle Tap,"Tiaong- Lipa road, antipolo del sur, lipa city, batangas",LIPA CITY,BATANGAS,PH,Asia/Manila,,,,,09614951804,,,,pickleball|pickleball|,
The Pickle Yard Parañaque,"The Pickle Yard Parañaque 1700 Parañaque, Philippines",CITY OF PARAÑAQUE,METRO MANILA,PH,Asia/Manila,,,,,09691991872,,,,pickleball|pickleball|,
Lipa Racket Club,"121, Mercado Compound, Brgy. Mataas na Lupa, Lipa City, Batangas",LIPA CITY,BATANGAS,PH,Asia/Manila,,,,,09178608640,,,,pickleball|pickleball|,
Awesome Shots,"Bateria Poblacion, Guihulngan City, Negros Oriental",GUIHULNGAN CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,09480093221,,,,pickleball|pickleball|,
PICKLD,"Surigao City, Surigao del Norte",SURIGAO CITY,SURIGAO DEL NORTE,PH,Asia/Manila,,,,,09266119105,,,,pickleball|pickleball|,
Toby's Arena,"Toby's Arena, Quorum Center, 73 Good Harvest Complex, C. Raymundo Ave., Caniogan, Pasig City 1606",CITY OF PASIG,METRO MANILA,PH,Asia/Manila,,,,,02-8651-7777,,,,pickleball|pickleball|,
Qusina PIQLE QLUB,"113 Gov M Cuenco Ave, Banilad, Cebu City",CEBU CITY,CEBU,PH,Asia/Manila,,,,,09461007777,,,,pickleball|pickleball|,
Butuan Pickleball Center,"R. Calo St., Brgy. Port Poyohon, Butuan City",BUTUAN CITY,AGUSAN DEL NORTE,PH,Asia/Manila,,,,,09695939885,,,,pickleball|pickleball|,
The Play Yard,"EJ Blanco Drive, Brgy. Piapi, Dumaguete City, Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,09458062117,,,,pickleball|pickleball|,
Paloo Ph - SM Sta. Rosa,"SM Sta. Rosa, Laguna",SANTA ROSA CITY,LAGUNA,PH,Asia/Manila,,,,,09283495039,,,,pickleball|pickleball|,
Rudhil Lawn Tennis Center,"Brgy. Delusom, Mahayag, Zamboanga del Sur",MAHAYAG,ZAMBOANGA DEL SUR,PH,Asia/Manila,,,,,09273623639,,,,pickleball|pickleball|,
BKL BROOK KNIGHT LEAGUES,"JRC Ballpark, 106 MacArthur Hwy, Valenzuela",CITY OF VALENZUELA,METRO MANILA,PH,Asia/Manila,,,,,09667754981,,,,pickleball|pickleball|,
Smash Zone - Caibaan,"Caibaan, Tacloban City, Leyte (Tacloban Bypass Rd)",TACLOBAN CITY,LEYTE,PH,Asia/Manila,,,,,09274584634,,,,pickleball|pickleball|,
MIA Sports Center,"2316 Aurora Blvd, Pasay City",PASAY CITY,METRO MANILA,PH,Asia/Manila,,,,,+639276861770,,,,pickleball|pickleball|,
Uptown Pickle Yard,"Brgy. San Pablo, Ormoc City, Leyte (6541)",ORMOC CITY,LEYTE,PH,Asia/Manila,,,,,09123456789,,,,pickleball|pickleball|,
FKS Gymnasium,"Solon Quarry, Tubtubon, Sibulan, Negros Oriental",SIBULAN,NEGROS ORIENTAL,PH,Asia/Manila,,,,,09566875834,,,,pickleball|pickleball|,
The Pickle Den,"1-A, Mercedes Ave, Pasig, Metro Manila",CITY OF PASIG,METRO MANILA,PH,Asia/Manila,,,,,+63 956 319 4999,,,,pickleball|pickleball|,
Erne Pickleball Club,"A9 Events Place & Private Resort, Upi, Gamu, Isabela, 3301",GAMU,ISABELA,PH,Asia/Manila,,,,,09778323437,,,,pickleball|pickleball|,
DECO PICKLEBALL,"Pulantubig, Villa amada, Dumaguete City, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,09455431773,,,,pickleball|pickleball|,
Dink District Ph,"Batia Rd, Tambobong, Bocaue, 3018 Bulacan",BOCAUE,BULACAN,PH,Asia/Manila,,,,,+639691734513,,,,pickleball|pickleball|,
DINKS & BANGS PICKLEBALL CENTER,"Victoria Sports Tower, South Triangle, 799 Edsa, Diliman, Quezon City (NEAR GMA)",QUEZON CITY,METRO MANILA,PH,Asia/Manila,,,,,VIBER 09164363444,,,,pickleball|pickleball|,
Chings Place Resort,"Tabalong Dauis, Bohol",DAUIS,BOHOL,PH,Asia/Manila,,,,,09323952443,,,,pickleball|pickleball|,
Smash Pickleball PH,Novella Tagaytay,TAGAYTAY CITY,CAVITE,PH,Asia/Manila,,,,,+63 917 866 9577,,,,pickleball|pickleball|,
Court X,"Peñaflor Street, Taloto, Tagbilaran City, Bohol",TAGBILARAN CITY,BOHOL,PH,Asia/Manila,,,,,09681770861,,,,pickleball|pickleball|,
The Pickleball Club - NOMO,"Bacoor Blvd, Bacoor, 4102 Cavite",BACOOR CITY,CAVITE,PH,Asia/Manila,,,,,09688676499,,,,pickleball|pickleball|,
Reset Pickleball and Cafe,Poblacion 8. Cotabato City. Mindanao Philippines,COTABATO CITY,MAGUINDANAO,PH,Asia/Manila,,,,,09756623494,,,,pickleball|pickleball|,
Dink N Dash Pickleball,"Bagacay, Dumaguete City (right beside QXV Royale)",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,09218081324,,,,pickleball|pickleball|,
Picklebel Court,"Aliguay, Maribojoc, Bohol",MARIBOJOC,BOHOL,PH,Asia/Manila,,,,,0968 411 6290,,,,pickleball|pickleball|,
Kitchenline Pickleball Center,"A Soriano Ave Mandaue City, Cebu",MANDAUE CITY,CEBU,PH,Asia/Manila,,,,,09458821522,,,,pickleball|pickleball|,
InCredoBall Sports & Development,"EJ Blanco Ext., Daro, Dumaguete City, Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,09367140363,,,,pickleball|pickleball|,
Pickle District,"Songculan Dauis, Bohol",DAUIS,BOHOL,PH,Asia/Manila,,,,,09177013961,,,,pickleball|pickleball|,
The Pickle Bloc,"Winwin Leisure Strip, Roxas Avenue, Naga City, 4400",NAGA CITY,CAMARINES SUR,PH,Asia/Manila,,,,,+639171756064,,,,pickleball|pickleball|,
Dink n' Drink,"Totolan, Dauis, Bohol",DAUIS,BOHOL,PH,Asia/Manila,,,,,+639122500294,,,,pickleball|pickleball|,
Game Changer Sports Facility,"Hernan Cortes, Mandaue City, Cebu",MANDAUE CITY,CEBU,PH,Asia/Manila,,,,,,,,,pickleball|pickleball|,
Proving Grounds Sports Center,"Gate 2, GTL Compound, Brgy. San Vicente, San Jacinto, Pangasinan",SAN JACINTO,PANGASINAN,PH,Asia/Manila,,,,,+639175063094,,,,pickleball|pickleball|,
La Viennice Pickleball Court,"Bougainville Street Greenville Subd., Brgy. Ayuti, Lucban, Quezon",LUCBAN,QUEZON,PH,Asia/Manila,,,,,+639175320036,,,,pickleball|pickleball|,
Picklebola Court,"305 D. Tuazon Street corner Araneta Ave, Brgy. San Jose, Quezon City",QUEZON CITY,METRO MANILA,PH,Asia/Manila,,,,,+639478879595,,,,pickleball|pickleball|,
Sweetspot Pickleball Courts,"HVG IT Park, Mandaue, Cebu",MANDAUE CITY,CEBU,PH,Asia/Manila,,,,,Facebook messenger,,,,pickleball|pickleball|,
Phoenix Pickleball Club,"AGP Commercial Complex, Covelandia Rd, Pulvorista St, Kawit, Cavite",KAWIT,CAVITE,PH,Asia/Manila,,,,,,,,,pickleball|pickleball|,
PickleZone Sports Center,"Barangay 2, San Jose, Antique",SAN JOSE,ANTIQUE,PH,Asia/Manila,,,,,+639161800517,,,,pickleball|pickleball|,
MIDRIFF PICKLEBALL COURT & CAFE,"Balagtas-Pandi Road, Santol, Balagtas, Bulacan",BULACAN,BULACAN,PH,Asia/Manila,,,,,+639178060223,,,,pickleball|pickleball|,
HQ PICKLEBALL CEBU,"Arch. Reyes Avenue, Cebu City",CEBU CITY,CEBU,PH,Asia/Manila,,,,,+639989627208,,,,pickleball|pickleball|,
Pickle Camp,"8 Patiis, Malanday, San Mateo, Rizal",SAN MATEO,RIZAL,PH,Asia/Manila,,,,,,,,,pickleball|pickleball|,
Solaris Pickle Hub,"Pulong Songco Solib, Floridablanca, Pampanga, 2006",FLORIDABLANCA,PAMPANGA,PH,Asia/Manila,,,,,+639709394761,,,,pickleball|pickleball|,
Reborn Smash,"L1 A2 Molino Paliparan Road, Molino 4, Bacoor City, Cavite",BACOOR CITY,CAVITE,PH,Asia/Manila,,,,,+639524550572,,,,pickleball|pickleball|,
THE PICKLEMIND COURT,"Warehouse 08, Willim Industrial Park, Panghulo Rd, Malabon City",MALABON CITY,METRO MANILA,PH,Asia/Manila,,,,,+639605576778,,,,pickleball|pickleball|,
The PickleGround,"CVHQ+V29, EPZA Diversion Rd, Noveleta, 4104 Cavite",NOVELETA,CAVITE,PH,Asia/Manila,,,,,09324767655,,,,pickleball|pickleball|,
Pickleball Paradise (Batis Aramin Resort and Hotel),"Brgy. Malupak Lucban, Quezon 4328",LUCBAN,QUEZON,PH,Asia/Manila,,,,,(0917) 595 4145,,,,pickleball|pickleball|,
