name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
Morning Mist Village,"Cagayan De Oro City, Misamis Oriental, Philippines",CAGAYAN DE ORO CITY,MISAMIS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/northern-mindanao/cagayan-de-oro-city/morning-mist-village,,,pickleball|pickleball|,
Camella Covered Court,"Cabanatuan City, Nueva Ecija, Philippines",CABANATUAN CITY,NUEVA ECIJA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-luzon/cabanatuan-city/camella-covered-court,,,pickleball|pickleball|,
Fitness Hub,"Las Pinas, Metro Manila, Philippines",CITY OF LAS PIÑAS,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/las-pinas/fitness-hub,,,pickleball|pickleball|,
Lb Pickleball Club,"Manolo Fortich, Northern Mindanao, Philippines",MANOLO FORTICH,BUKIDNON,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/northern-mindanao/manolo-fortich/lb-pickleball-club,,,pickleball|pickleball|,
South Philippine Adventist College,"Matanao, Davao Region, Philippines",MATANAO,DAVAO DEL SUR,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/davao-region/matanao/south-philippine-adventist-college,,,pickleball|pickleball|,
Frnds Pickleball,"Sibulan, Central Visayas, Philippines",SIBULAN,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/sibulan/frnds-pickleball,,,pickleball|pickleball|,
Mariano Marcos State University,"Batac, Ilocos Region, Philippines",BATAC CITY,ILOCOS NORTE,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/ilocos-region/batac/mariano-marcos-state-university,,,pickleball|pickleball|,
Sinadya Pickleball Courts At Vista Mall Iloilo,"Philippines, Western Visayas, Philippines",ILOILO CITY,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/philippines/sinadya-pickleball-courts-at-vista-mall-iloilo,,,pickleball|pickleball|,
Pickleball The Food Camp,"Lapu Lapu, Central Visayas, Philippines",LAPU-LAPU CITY (OPON),CEBU,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/lapu-lapu/pickleball-the-food-camp,,,pickleball|pickleball|,
Upv Miagao Pickleball Courts,"Miagao, Western Visayas, Philippines",MIAGAO,ILOILO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/western-visayas/miagao/upv-miagao-pickleball-courts,,,pickleball|pickleball|,
