place_id,name,address,city,province,country,time_zone,latitude,longitude,place_type,claim_status,is_active,organization_name,phone_number,viber_info,facebook_url,instagram_url,website_url,other_contact_info,amenities,courts,photo_urls
3e428ef5-467f-4c93-9a1f-f036c351f35c,The Pickle Spot Makati,"2492 Pasong Tirad, Makati City, 1204 Metro Manila",CITY OF MAKATI,METRO MANILA,PH,Asia/Manila,14.56891480,121.01210260,CURATED,UNCLAIMED,true,,,,,,,,Covered Courts;Parking,Court 1|pickleball|,
587d57b2-e273-405c-b6ab-98568fc6589a,Zone Sports Center,"malugay, 7224 Sen. Gil J. Puyat Ave, Makati City, 12242 Metro Manila",CITY OF MAKATI,METRO MANILA,PH,Asia/Manila,14.56271000,121.01935870,CURATED,UNCLAIMED,true,,09452043013,,,,http://bit.ly/thezoneph,,Covered Courts,Court 1|pickleball|,
4ca1fb87-fcaa-4b2f-9aba-f96dd52d50c1,"Bounce at Parqal- Basketball, Volleyball & Pickleball Courts","Ground Floor, Parqal Mall, Parañaque, Metro Manila",CITY OF PARAÑAQUE,METRO MANILA,PH,Asia/Manila,14.52708810,120.98537980,CURATED,UNCLAIMED,true,,09171007670,,,,https://bounceatparqal.com/,,Parking,Court 1|pickleball|;Court 2|basketball|,
18ca706d-c251-4854-9658-7a4ed9938672,The Pickle Yard Parañaque,"Km 15 West Service Road, South Luzon Expy, Parañaque, 1709 Metro Manila",CITY OF PARAÑAQUE,METRO MANILA,PH,Asia/Manila,14.48961690,121.04376580,CURATED,UNCLAIMED,true,,09369595004,,https://www.facebook.com/profile.php?id=61567306075454&mibextid=LQQJ4d,,,,Covered Courts;Seating Area,Court 1|pickleball|,
af8c865b-0da9-4793-94cc-e788ac171158,Incredoball Sports and Development Center,"Dumaguete City, Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.31970640,123.29331250,CURATED,UNCLAIMED,true,,,,,,https://events-ph.com/,,Covered Courts,Court 1|pickleball|,
5cb5f626-62ef-4a09-b640-6795080c70a7,Manna Racket Center,"Tabaylawom street, Liloan, 6002 Cebu",LILOAN,CEBU,PH,Asia/Manila,10.40538480,123.97037990,CURATED,UNCLAIMED,true,,09669101402,,,,,,Covered Courts;Restrooms;Seating Area,Court 1|badminton|,
967ed83f-ec65-4919-8b3c-4adc1870f8f9,Mactan Poona Zone,"8X86+796, M.L. Quezon National Highway, Lapu-Lapu, Cebu",LAPU-LAPU CITY (OPON),CEBU,PH,Asia/Manila,10.31567060,123.96090330,CURATED,UNCLAIMED,true,,0323420060,,,,,,Covered Courts;Restrooms;Seating Area,Court 1|badminton|,
7206443b-e1b5-4fa0-93b2-3810d1f956e3,East Side Hoops,"410 Diola St, Bacolod, 6100 Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.66546990,122.96664380,CURATED,UNCLAIMED,true,,,,,,,,Covered Courts;Seating Area,Court 1|basketball|,
8663226b-dcc0-4d75-b4d6-aa97665307d4,Hard Court Sports Fitness,"MX42+PX9, Corazon Aquino Dr, Bacolod, 6100 Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.65679510,122.95248440,CURATED,UNCLAIMED,true,,09100558603,,,,,,Covered Courts;Seating Area,Court 1|badminton|,
0ea2f12f-c349-4f22-bf5e-6bbaf19f4b29,Lopue's South Square Badminton Court,"JWRM+CH8, Bacolod, 6100 Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.64104090,122.93396470,CURATED,UNCLAIMED,true,,,,,,,,Covered Courts,Court 1|badminton|,
64293f01-8822-42c9-998e-0a60546dd9e2,"City Sports Park, Badminton Court","Sampaguita Street, San Julio Subdivision, San Carlos City, Negros Occidental",SAN CARLOS CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.48577240,123.41128110,CURATED,UNCLAIMED,true,,,,,,,,Covered Courts;Seating Area,Court 1|badminton|,
855ebc10-8085-4992-a50c-9d54f3ce4ff8,The Soft Serve Café and Courts,"Dauin, 6217 Negros Oriental",DAUIN,NEGROS ORIENTAL,PH,Asia/Manila,9.19732280,123.26941180,CURATED,UNCLAIMED,true,,09277992391,,,,https://thesoftservecafeandcourts.trafft.com/,,Parking,Court 1|pickleball|,
cfc24f21-58ed-4d81-9a39-742bd8e913b3,Pohang Badminton Center,"MXM5+4F5, 23rd St, Bacolod, Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.68275340,122.95874460,CURATED,UNCLAIMED,true,,0344333632,,,,,,Covered Courts;Parking;Seating Area,Court 1|badminton|,
9124b525-e060-4c6e-86ef-c06c9564fb3a,Center Court Tennis Courts,"MW3R+6G6, Magsaysay Street, Liro Vile Subdivision, Barangay Cincang airport, Bacolod, 6100 Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.65304790,122.94126250,CURATED,UNCLAIMED,true,,0344344705,,,,,,,Court 1|tennis|,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/9124b525-e060-4c6e-86ef-c06c9564fb3a/291eb10f-99d6-4281-831a-750a6d5e2fb0.webp
36a020fa-64c0-474c-ac5a-341b958664d6,The Riverside Courts,"Negros South Road, Dumaguete City, 6200 Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.30175310,123.30608060,CURATED,UNCLAIMED,true,,09176277866,,,,http://www.judevco.com/,,Covered Courts;Parking,Court 1|badminton|,
0784423d-216a-40f0-b0e1-ccb54c7ead80,Pickle Warehouse,"MXCG+63Q, Bacolod, 6100 Negros Occidental",BACOLOD CITY,NEGROS OCCIDENTAL,PH,Asia/Manila,10.67059160,122.97523720,CURATED,UNCLAIMED,true,,09176295492,,,,,,Covered Courts;Parking,Court 1|pickleball|,
8f1d28a3-e4b2-4381-b0f4-e61cb9cf6cfa,Red Water Pickleball Courts,"364, 459 L. Rovira Rd, Dumaguete City, Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.32412730,123.28713420,CURATED,UNCLAIMED,true,,09687710176,,,,https://www.redwaterpickleballcourts.com/,,Covered Courts;Food/Drinks;Parking,Court 1|pickleball|,
f41f1311-5304-40e7-92ac-3a557805a967,Reserve Pickleball Court Center,"St Peter St, Dumaguete City, 6200 Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.32305520,123.29655030,CURATED,UNCLAIMED,true,,,,,,https://app.court-access.com/user/facility/b24ec722-e8b5-49c3-8274-0d3e93af4850,,Covered Courts,Court 1|pickleball|,
5b0e03a4-40cc-4e5d-8d7a-6b98ec0930a6,DECO Pickleball Courts,"Villa Amada, Pulantubig",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.32501460,123.29747880,CURATED,UNCLAIMED,true,,,,,,,,,Court 1|pickleball|,"https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/5b0e03a4-40cc-4e5d-8d7a-6b98ec0930a6/4567617c-eb0a-4771-bfa1-06584d38671d.jpg,https://dgcmgarzwbjdgitdllcl.supabase.co/storage/v1/object/public/place-photos/5b0e03a4-40cc-4e5d-8d7a-6b98ec0930a6/66584357-fc00-4f3b-aaa3-19691646ecb4.jpg"
8d02126c-edbb-4577-8177-0f5a728630ae,PWR Pickleball Courts,"8893+66V, Tindalo St, Dumaguete City, Negros Oriental",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,9.31802780,123.30316670,CURATED,UNCLAIMED,true,,09267023161,,https://www.facebook.com/profile.php?id=61575179447221,,,,,Court 1|pickleball|,
